algorithm_name,env_n,size,best_solution,H,states,time
HC,2,10,"[8, 0, 9, 4, 2, 0, 3, 7, 5, 1]",2,5,0.009836912155151367
SA,2,10,"[3, 7, 4, 2, 0, 9, 1, 5, 8, 6]",0,1139,0.031388282775878906
GA,2,10,"[6, 9, 2, 4, 8, 0, 3, 1, 7, 5]",0,67,0.08126688003540039
random,3,10,"[5, 2, 6, 7, 5, 1, 9, 0, 8, 3]",3,2000,0.030552387237548828
HC,3,10,"[1, 6, 8, 6, 2, 0, 5, 7, 5, 3]",2,5,0.010237932205200195
SA,3,10,"[9, 3, 5, 8, 1, 9, 0, 6, 4, 7]",1,2000,0.05144810676574707
GA,3,10,"[0, 5, 7, 9, 3, 6, 8, 1, 2, 4]",1,1999,2.1195104122161865
random,4,10,"[4, 6, 1, 9, 2, 7, 7, 1, 3, 5]",3,2000,0.032668113708496094
HC,4,10,"[7, 5, 2, 8, 6, 0, 3, 1, 9, 7]",1,6,0.012760162353515625
SA,4,10,"[5, 9, 2, 4, 8, 3, 0, 6, 1, 7]",1,2000,0.05750775337219238
GA,4,10,"[2, 7, 3, 6, 0, 9, 5, 5, 8, 1]",1,1999,2.1404826641082764
random,5,10,"[5, 4, 9, 0, 8, 1, 7, 2, 6, 0]",3,2000,0.032479286193847656
HC,5,10,"[2, 5, 8, 6, 0, 3, 1, 4, 9, 7]",1,6,0.011466503143310547
SA,5,10,"[7, 0, 4, 8, 1, 3, 6, 2, 9, 5]",0,440,0.06784343719482422
GA,5,10,"[4, 1, 5, 8, 6, 3, 0, 2, 9, 7]",1,1999,2.199913740158081
random,6,10,"[9, 6, 8, 3, 1, 0, 7, 4, 2, 5]",3,2000,0.032592058181762695
HC,6,10,"[0, 7, 4, 8, 3, 9, 3, 5, 2, 1]",2,5,0.01092839241027832
SA,6,10,"[4, 9, 0, 5, 3, 1, 7, 2, 8, 6]",0,678,0.01840949058532715
GA,6,10,"[8, 1, 7, 4, 2, 0, 5, 9, 6, 3]",1,1999,2.13778018951416
random,7,10,"[9, 3, 5, 2, 2, 8, 6, 4, 7, 1]",3,2000,0.0308225154876709
HC,7,10,"[8, 0, 5, 3, 6, 9, 4, 8, 1, 2]",3,4,0.008494377136230469
SA,7,10,"[1, 9, 2, 6, 8, 3, 0, 4, 7, 5]",0,1323,0.037906646728515625
GA,7,10,"[2, 6, 1, 7, 5, 3, 0, 4, 8, 9]",1,1999,2.3228354454040527
random,8,10,"[2, 0, 9, 7, 5, 2, 9, 1, 4, 8]",3,2000,0.03216671943664551
HC,8,10,"[4, 7, 9, 6, 2, 1, 8, 0, 5, 3]",1,7,0.01198577880859375
SA,8,10,"[6, 2, 5, 1, 9, 0, 3, 7, 4, 8]",0,1251,0.03316545486450195
GA,8,10,"[5, 8, 4, 0, 3, 6, 9, 7, 2, 1]",1,1999,2.1595418453216553
random,9,10,"[3, 6, 4, 9, 9, 0, 5, 1, 8, 6]",3,2000,0.037180185317993164
HC,9,10,"[6, 1, 9, 4, 1, 3, 8, 2, 0, 8]",3,4,0.00818943977355957
SA,9,10,"[8, 5, 0, 2, 0, 6, 9, 7, 1, 4]",1,2000,0.054259300231933594
GA,9,10,"[9, 5, 3, 8, 0, 2, 6, 1, 7, 4]",0,1925,2.1069324016571045
random,10,10,"[0, 8, 6, 4, 9, 7, 1, 3, 7, 5]",3,2000,0.032334089279174805
HC,10,10,"[9, 1, 3, 4, 6, 8, 0, 5, 7, 2]",1,5,0.010277748107910156
SA,10,10,"[7, 5, 8, 2, 0, 3, 6, 4, 9, 4]",1,2000,0.052465200424194336
GA,10,10,"[2, 0, 8, 3, 9, 6, 9, 1, 4, 7]",1,1999,2.1521780490875244
random,11,10,"[8, 5, 3, 9, 2, 7, 1, 6, 2, 0]",3,2000,0.03453254699707031
HC,11,10,"[4, 7, 3, 8, 6, 1, 9, 5, 2, 0]",1,6,0.009842872619628906
SA,11,10,"[3, 7, 0, 8, 5, 1, 6, 9, 2, 4]",0,583,0.01973247528076172
GA,11,10,"[4, 6, 8, 0, 2, 7, 5, 8, 1, 9]",1,1999,2.2117245197296143
random,12,10,"[5, 3, 0, 7, 3, 4, 9, 1, 4, 2]",3,2000,0.03059864044189453
HC,12,10,"[5, 0, 6, 0, 2, 8, 1, 3, 1, 9]",2,4,0.00938868522644043
SA,12,10,"[6, 4, 0, 7, 9, 2, 5, 8, 1, 3]",0,630,0.020878314971923828
GA,12,10,"[5, 1, 9, 7, 3, 8, 0, 2, 4, 6]",0,36,0.0489957332611084
random,13,10,"[2, 7, 1, 8, 0, 5, 3, 6, 9, 4]",2,2000,0.03249764442443848
HC,13,10,"[1, 8, 2, 5, 7, 0, 4, 9, 4, 6]",2,5,0.010543346405029297
SA,13,10,"[5, 1, 8, 4, 2, 7, 9, 6, 3, 0]",0,678,0.020580768585205078
GA,13,10,"[0, 6, 8, 1, 5, 9, 2, 4, 7, 3]",0,77,0.09505033493041992
random,14,10,"[8, 1, 3, 7, 2, 7, 9, 6, 0, 0]",3,2000,0.028347253799438477
HC,14,10,"[7, 2, 6, 3, 9, 0, 5, 5, 8, 1]",2,6,0.01125478744506836
SA,14,10,"[6, 2, 7, 5, 0, 9, 1, 4, 8, 3]",0,285,0.008481979370117188
GA,14,10,"[5, 7, 2, 4, 8, 8, 0, 9, 6, 1]",1,1999,2.1222100257873535
random,15,10,"[1, 3, 0, 6, 1, 9, 2, 5, 7, 9]",3,2000,0.03812861442565918
HC,15,10,"[8, 1, 3, 9, 6, 4, 1, 5, 0, 2]",3,4,0.008861780166625977
SA,15,10,"[9, 7, 4, 2, 0, 5, 1, 8, 6, 3]",0,754,0.019938945770263672
GA,15,10,"[6, 1, 5, 0, 8, 4, 2, 3, 9, 7]",1,1999,2.1616153717041016
random,16,10,"[9, 2, 5, 7, 1, 3, 0, 2, 8, 4]",3,2000,0.03102898597717285
HC,16,10,"[7, 5, 1, 6, 9, 3, 8, 0, 2, 4]",2,5,0.009548425674438477
SA,16,10,"[3, 0, 6, 9, 5, 1, 8, 4, 2, 7]",0,800,0.02202773094177246
GA,16,10,"[7, 4, 1, 9, 2, 6, 3, 1, 8, 5]",1,1999,2.142115831375122
random,17,10,"[1, 6, 4, 9, 7, 0, 3, 9, 6, 8]",3,2000,0.03178858757019043
HC,17,10,"[0, 3, 5, 8, 2, 9, 4, 1, 7, 6]",2,5,0.010352134704589844
SA,17,10,"[7, 5, 1, 9, 4, 0, 3, 8, 6, 2]",0,1924,0.04940056800842285
GA,17,10,"[8, 3, 8, 2, 7, 1, 6, 0, 9, 4]",1,1999,2.1334409713745117
random,18,10,"[4, 8, 3, 5, 8, 2, 9, 0, 7, 1]",4,2000,0.02974724769592285
HC,18,10,"[5, 7, 2, 4, 8, 1, 9, 3, 6, 0]",1,4,0.010167121887207031
SA,18,10,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]",0,426,0.012616157531738281
GA,18,10,"[3, 1, 8, 5, 2, 9, 7, 0, 4, 6]",0,441,0.4827113151550293
random,19,10,"[2, 9, 5, 9, 5, 1, 6, 6, 3, 7]",4,2000,0.03101348876953125
HC,19,10,"[3, 1, 6, 9, 0, 4, 8, 0, 5, 7]",1,7,0.013132572174072266
SA,19,10,"[6, 4, 7, 0, 3, 5, 8, 1, 9, 2]",0,506,0.016320228576660156
